country,rantingAVG
Afrique du Sud,4.5
Allemagne,4.4
Argentine,4.4
Australie,4.4
Chili,4.6
Croatie,4.3
Espagne,4.2
France,4.4
Grèce,4.4
Hongrie,4.6
Israël,4.5
Italie,4.6
Moldavie,4.5
Portugal,4.4
Roumanie,4.4
Suisse,4.4
États-Unis,4.3
