id,name,wine_id,ratings_average,ratings_count,year,price_euros,price_discounted_from,price_discount_percentage,bottle_volume_ml
115690,Castello di Ama L'Apparita 1995,89900,4.5,104,1995,287.5,,,750
115741,Domaine des Lambrays Clos des Lambrays Grand Cru 2002,84732,4.5,303,2002,1686.25,,,1500
115801,Château Doisy-Daëne L'Extravagant de Doisy-Daëne Sauternes 2006,96337,0.0,24,2006,276.25,,,375
119990,Nicolas Joly Clos de la Coulée de Serrant 2008,100492,4.4,262,2008,265.0,,,750
752644,Antinori Tenuta Tignanello 'Solaia' 1997,1651,4.7,1061,1997,1473.75,,,1500
755214,Quintarelli Giuseppe Veneto Rosso del Bepi 1999,84068,4.5,320,1999,243.75,,,750
799347,Domaine Sylvain Cathiard Vosne-Romanée 1er Cru 'Aux Malconsorts' 2008,779441,4.5,36,2008,2092.5,,,750
1122383,Antinori Tenuta Tignanello 'Solaia' 1999,1651,4.6,670,1999,1387.5,,,1500
1125282,Casanova di Neri Cerretalto Brunello di Montalcino 2004,81836,4.6,633,2004,533.75,,,750
1125473,Louis Roederer Cristal Brut Champagne (Millésimé) 2008,74304,4.7,4757,2008,2071.25,,,1500
1132134,Krug Vintage 2008,79631,4.6,1193,2008,1260.0,,,750
1137877,Krug Clos du Mesnil 1998,79635,4.8,235,1998,3522.5,,,750
1148143,Renato Ratti Barolo Rocche 2006,13904,4.4,331,2006,208.75,,,750
1148430,Mocali Brunello di Montalcino Riserva 2003,1125957,0.0,1,2003,127.5,,,750
1149754,Conterno Fantino Barolo Sorì Ginestra 2008,16637,4.4,262,2008,271.25,,,750
1150861,Château Margaux Château Margaux (Premier Grand Cru Classé) 2009,1127795,4.7,594,2009,1067.5,,,750
1150867,Krug Collection 1995,79633,4.6,138,1995,2028.75,,,750
1151187,Burmester Colheita Port 1975,76378,4.5,302,1975,147.82,,,750
1152271,Grattamacco Bolgheri Superiore 2005,87674,4.4,164,2005,291.25,,,750
1152340,Dal Forno Romano Amarone della Valpolicella Monte Lodoletta 2008,89750,4.7,966,2008,697.5,,,750
1156454,Château Trotanoy Pomerol 2005,1098770,4.5,325,2005,747.5,,,750
1160136,Château de Beaucastel Châteauneuf-du-Pape 2009,1134803,4.4,2403,2009,310.0,,,750
1161459,Salon Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne 1996,1127349,4.8,1004,1996,2882.5,,,750
1165193,Château Léoville Las Cases Saint-Julien (Grand Cru Classé) 2007,81848,4.4,724,2007,406.25,,,750
1166266,Petrolo Galatrona 2007,16833,4.5,439,2007,310.0,,,750
1166340,Antinori Tenuta Tignanello 'Solaia' 2007,1651,4.7,1564,2007,668.75,,,750
1168909,Gaja Barbaresco 2008,66104,4.5,1290,2008,470.0,,,750
1176241,Gaja Sorì San Lorenzo 2006,66144,4.5,212,2006,917.5,,,750
1179277,Chateau Palmer Grand Vin de Château Palmer (Grand Cru Classé) 1999,9220,4.5,1132,1999,630.0,,,750
1180516,Tenuta San Guido Sassicaia 2008,5078,4.6,4327,2008,618.75,,,750
1181037,Le Macchiole Messorio 2007,16418,4.4,325,2007,420.0,,,750
1183163,Château Lafite Rothschild Carruades de Lafite Pauillac 2009,23793,4.4,738,2009,686.4,,,750
1183164,Vieux Château Certan Pomerol 2009,81849,4.6,354,2009,423.5,,,750
1186199,Antinori Tignanello 1998,1652,4.5,937,1998,820.0,,,1500
1186205,Château Cheval Blanc Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2004,1148747,4.6,1392,2004,1173.75,,,750
1186404,Château Haut-Brion Pessac-Léognan Blanc (Grand Cru Classé de Graves) 2009,1148846,4.6,49,2009,2028.75,,,750
1191229,Tenuta San Guido Sassicaia 2007,5078,4.6,3612,2007,597.5,,,750
1192712,Château La Fleur-Pétrus Pomerol 2010,1098981,4.6,597,2010,576.25,,,750
1195234,Château Margaux Château Margaux (Premier Grand Cru Classé) 2001,1127795,4.7,1462,2001,1173.75,,,750
1196152,Château Haut-Brion Pessac-Léognan (Premier Grand Cru Classé) 2006,1152755,4.6,1312,2006,2455.0,,,1500
1196730,Paul Hobbs Beckstoffer To Kalon Vineyard Cabernet Sauvignon 2005,87360,4.5,65,2005,260.0,,,750
1198346,Vilafonté Series C 2007,16220,4.5,95,2007,65.0,,,750
1199014,Domaine des Lambrays Clos des Lambrays Grand Cru 2009,84732,4.4,444,2009,896.25,,,750
1199763,Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 2011,3908,4.5,941,2011,1625.0,,,750
1201600,Domaine Arnoux-Lachaux Romanée-Saint-Vivant Grand Cru 2008,1156988,0.0,17,2008,3202.5,,,750
1202158,Pio Cesare Ornato Barolo 2006,22555,4.5,200,2006,212.5,,,750
1203040,Gaja Barbaresco 2007,66104,4.6,676,2007,688.75,,,750
1203298,Château Margaux Château Margaux (Premier Grand Cru Classé) 1998,1127795,4.7,1869,1998,1173.75,,,750
1204366,Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 1999,3908,4.7,1676,1999,1451.25,,,750
1206818,Pio Cesare Ornato Barolo 2008,22555,4.5,397,2008,178.75,,,750
1209030,Gaja Barbaresco 1997,66104,4.7,627,1997,597.5,,,750
1209267,Paolo Scavino Bric Dël Fiasc Barolo 2000,75764,4.4,178,2000,243.75,,,750
1212205,Callejo Félix Callejo (Viñedos de la Familia) 2005,14882,4.5,212,2005,304.5,,,750
1215713,Petrolo Galatrona 2008,16833,4.4,433,2008,212.5,,,750
1215922,Gaja Barbaresco 1998,66104,4.6,733,1998,470.0,,,750
1218420,Gaja Sorì San Lorenzo 2001,66144,4.6,198,2001,1025.0,,,750
1219332,Biondi-Santi Brunello di Montalcino Riserva 2004,82698,4.7,313,2004,921.25,,,750
1220145,Leonetti Cabernet Sauvignon 2008,94912,4.6,125,2008,178.75,,,750
1224189,Veuve Clicquot La Grande Dame Brut Champagne 2008,79836,4.5,2702,2008,832.5,,,1500
1229430,Antinori Tignanello 2009,1652,4.5,6923,2009,331.25,,,750
1230856,Château Margaux Château Margaux (Premier Grand Cru Classé) 2011,1127795,4.6,747,2011,753.4,,,750
1234433,Bruno Rocca Barbaresco Rabajà 2007,88470,4.5,176,2007,221.25,,,750
1235926,Gaja Sperss Barolo 2008,66194,4.6,563,2008,470.0,,,750
1238726,Le Macchiole Scrio 2008,16419,4.4,144,2008,201.25,,,750
1240819,Château Haut-Brion Pessac-Léognan (Premier Grand Cru Classé) 2008,1152755,4.6,739,2008,1046.25,,,750
1241294,Château de Beaucastel Châteauneuf-du-Pape 2007,1134803,4.4,2043,2007,168.75,,,750
1241584,Château Lynch-Bages Pauillac (Grand Cru Classé) 1990,79262,4.6,1319,1990,618.75,,,750
1242165,Le Macchiole Messorio 2008,16418,4.5,317,2008,420.0,,,750
