taste,keyword_count,wine,ratingAVG,ratingCOUNT
coffee,15,Brunello di Montalcino Riserva,4.6,3375
coffee,15,Brunello di Montalcino Riserva,4.6,3375
coffee,49,Pomerol,4.7,32157
coffee,49,Pomerol,4.7,32157
cream,18,Pomerol,4.7,32157
citrus,240,Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,4.7,9564
toast,100,Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,4.7,9564
coffee,12,Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,4.7,9564
coffee,12,Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,4.7,9564
cream,118,Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,4.7,9564
toast,100,Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,4.7,9564
green apple,76,Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,4.7,9564
coffee,67,Pauillac (Premier Grand Cru Classé),4.6,39283
toast,17,Pauillac (Premier Grand Cru Classé),4.6,39283
coffee,67,Pauillac (Premier Grand Cru Classé),4.6,39283
cream,27,Pauillac (Premier Grand Cru Classé),4.6,39283
toast,17,Pauillac (Premier Grand Cru Classé),4.6,39283
coffee,108,Grand Vin Pauillac (Premier Grand Cru Classé),4.6,38521
toast,23,Grand Vin Pauillac (Premier Grand Cru Classé),4.6,38521
coffee,108,Grand Vin Pauillac (Premier Grand Cru Classé),4.6,38521
cream,29,Grand Vin Pauillac (Premier Grand Cru Classé),4.6,38521
toast,23,Grand Vin Pauillac (Premier Grand Cru Classé),4.6,38521
coffee,43,Toscana,4.7,16284
coffee,43,Toscana,4.7,16284
cream,16,Toscana,4.7,16284
green apple,13,Sauternes,4.7,44126
coffee,26,Sauternes,4.7,44126
toast,49,Sauternes,4.7,44126
coffee,26,Sauternes,4.7,44126
citrus,201,Sauternes,4.7,44126
cream,215,Sauternes,4.7,44126
toast,49,Sauternes,4.7,44126
coffee,47,Amarone della Valpolicella Classico,4.7,8900
coffee,47,Amarone della Valpolicella Classico,4.7,8900
toast,33,Clos du Mesnil,4.7,2471
citrus,62,Clos du Mesnil,4.7,2471
cream,16,Clos du Mesnil,4.7,2471
toast,33,Clos du Mesnil,4.7,2471
green apple,19,Clos du Mesnil,4.7,2471
coffee,13,Barolo Cascina Francia,4.5,6045
coffee,13,Barolo Cascina Francia,4.5,6045
coffee,15,Veneto Alzero Cabernet,4.7,2600
coffee,15,Veneto Alzero Cabernet,4.7,2600
coffee,18,Cerretalto Brunello di Montalcino,4.7,5373
coffee,18,Cerretalto Brunello di Montalcino,4.7,5373
cream,27,Montrachet Grand Cru Marquis de Laguiche,4.6,1970
citrus,41,Montrachet Grand Cru Marquis de Laguiche,4.6,1970
coffee,27,Harlan Estate Red,4.7,7231
coffee,27,Harlan Estate Red,4.7,7231
cream,20,Harlan Estate Red,4.7,7231
coffee,32,Amarone della Valpolicella Monte Lodoletta,4.7,7947
coffee,32,Amarone della Valpolicella Monte Lodoletta,4.7,7947
coffee,13,Viña El Pison,4.6,3027
coffee,13,Viña El Pison,4.6,3027
cream,12,Viña El Pison,4.6,3027
coffee,13,Clos de Tart Grand Cru Monopole,4.5,4948
coffee,13,Clos de Tart Grand Cru Monopole,4.5,4948
coffee,33,Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.6,6637
coffee,33,Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.6,6637
coffee,179,Sassicaia,4.6,107646
toast,47,Sassicaia,4.6,107646
coffee,179,Sassicaia,4.6,107646
cream,75,Sassicaia,4.6,107646
toast,47,Sassicaia,4.6,107646
citrus,16,Sassicaia,4.6,107646
coffee,149,Opus One,4.6,77053
toast,55,Opus One,4.6,77053
coffee,149,Opus One,4.6,77053
cream,119,Opus One,4.6,77053
toast,55,Opus One,4.6,77053
toast,464,Cristal Brut Champagne (Millésimé),4.6,42456
coffee,26,Cristal Brut Champagne (Millésimé),4.6,42456
green apple,298,Cristal Brut Champagne (Millésimé),4.6,42456
citrus,954,Cristal Brut Champagne (Millésimé),4.6,42456
coffee,26,Cristal Brut Champagne (Millésimé),4.6,42456
cream,496,Cristal Brut Champagne (Millésimé),4.6,42456
toast,464,Cristal Brut Champagne (Millésimé),4.6,42456
coffee,122,Valbuena 5º,4.6,72784
toast,69,Valbuena 5º,4.6,72784
coffee,122,Valbuena 5º,4.6,72784
cream,60,Valbuena 5º,4.6,72784
toast,69,Valbuena 5º,4.6,72784
coffee,201,Pauillac (Grand Cru Classé),4.4,47234
toast,49,Pauillac (Grand Cru Classé),4.4,47234
coffee,201,Pauillac (Grand Cru Classé),4.4,47234
cream,58,Pauillac (Grand Cru Classé),4.4,47234
toast,49,Pauillac (Grand Cru Classé),4.4,47234
citrus,12,Pauillac (Grand Cru Classé),4.4,47234
coffee,318,Pauillac (Premier Grand Cru Classé),4.6,73615
toast,73,Pauillac (Premier Grand Cru Classé),4.6,73615
coffee,318,Pauillac (Premier Grand Cru Classé),4.6,73615
cream,78,Pauillac (Premier Grand Cru Classé),4.6,73615
toast,73,Pauillac (Premier Grand Cru Classé),4.6,73615
citrus,11,Pauillac (Premier Grand Cru Classé),4.6,73615
coffee,100,Tenuta Tignanello 'Solaia',4.6,33143
toast,19,Tenuta Tignanello 'Solaia',4.6,33143
coffee,100,Tenuta Tignanello 'Solaia',4.6,33143
cream,33,Tenuta Tignanello 'Solaia',4.6,33143
toast,19,Tenuta Tignanello 'Solaia',4.6,33143
coffee,125,Bolgheri Superiore,4.6,47939
toast,40,Bolgheri Superiore,4.6,47939
coffee,125,Bolgheri Superiore,4.6,47939
cream,64,Bolgheri Superiore,4.6,47939
toast,40,Bolgheri Superiore,4.6,47939
coffee,81,Special Selection Cabernet Sauvignon,4.7,41236
toast,25,Special Selection Cabernet Sauvignon,4.7,41236
coffee,81,Special Selection Cabernet Sauvignon,4.7,41236
cream,82,Special Selection Cabernet Sauvignon,4.7,41236
toast,25,Special Selection Cabernet Sauvignon,4.7,41236
coffee,103,Château Margaux (Premier Grand Cru Classé),4.6,45350
toast,38,Château Margaux (Premier Grand Cru Classé),4.6,45350
coffee,103,Château Margaux (Premier Grand Cru Classé),4.6,45350
cream,37,Château Margaux (Premier Grand Cru Classé),4.6,45350
toast,38,Château Margaux (Premier Grand Cru Classé),4.6,45350
coffee,15,Rutherford,4.6,16322
coffee,15,Rutherford,4.6,16322
cream,20,Rutherford,4.6,16322
coffee,97,Insignia,4.6,30674
toast,29,Insignia,4.6,30674
coffee,97,Insignia,4.6,30674
cream,51,Insignia,4.6,30674
toast,29,Insignia,4.6,30674
toast,356,Vintage,4.6,16918
coffee,56,Vintage,4.6,16918
coffee,56,Vintage,4.6,16918
cream,240,Vintage,4.6,16918
toast,356,Vintage,4.6,16918
green apple,96,Vintage,4.6,16918
citrus,406,Vintage,4.6,16918
coffee,29,Don PX Convento Selección,4.7,1224
coffee,29,Don PX Convento Selección,4.7,1224
coffee,13,Recioto della Valpolicella Classico,4.7,1045
coffee,13,Recioto della Valpolicella Classico,4.7,1045
coffee,129,Pessac-Léognan (Premier Grand Cru Classé),4.6,39605
toast,38,Pessac-Léognan (Premier Grand Cru Classé),4.6,39605
coffee,129,Pessac-Léognan (Premier Grand Cru Classé),4.6,39605
cream,38,Pessac-Léognan (Premier Grand Cru Classé),4.6,39605
toast,38,Pessac-Léognan (Premier Grand Cru Classé),4.6,39605
toast,161,P2 Plénitude Brut Champagne,4.7,7543
coffee,14,P2 Plénitude Brut Champagne,4.7,7543
coffee,14,P2 Plénitude Brut Champagne,4.7,7543
cream,135,P2 Plénitude Brut Champagne,4.7,7543
toast,161,P2 Plénitude Brut Champagne,4.7,7543
green apple,30,P2 Plénitude Brut Champagne,4.7,7543
citrus,141,P2 Plénitude Brut Champagne,4.7,7543
coffee,117,Unico,4.7,45140
toast,38,Unico,4.7,45140
coffee,117,Unico,4.7,45140
cream,53,Unico,4.7,45140
toast,38,Unico,4.7,45140
citrus,11,Unico,4.7,45140
coffee,67,Barbaresco,4.5,24516
coffee,67,Barbaresco,4.5,24516
coffee,129,Grange,4.7,24356
toast,33,Grange,4.7,24356
coffee,129,Grange,4.7,24356
cream,44,Grange,4.7,24356
toast,33,Grange,4.7,24356
toast,51,Cristal Rosé Brut Champagne (Millésimé),4.6,5883
citrus,74,Cristal Rosé Brut Champagne (Millésimé),4.6,5883
green apple,15,Cristal Rosé Brut Champagne (Millésimé),4.6,5883
cream,48,Cristal Rosé Brut Champagne (Millésimé),4.6,5883
toast,51,Cristal Rosé Brut Champagne (Millésimé),4.6,5883
coffee,101,Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.6,28198
coffee,101,Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.6,28198
cream,36,Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.6,28198
coffee,36,Continuum Estate,4.6,6949
toast,11,Continuum Estate,4.6,6949
coffee,36,Continuum Estate,4.6,6949
cream,11,Continuum Estate,4.6,6949
toast,11,Continuum Estate,4.6,6949
citrus,13,Montrachet Grand Cru,4.7,459
coffee,76,Dominus (Christian Moueix),4.5,22117
toast,25,Dominus (Christian Moueix),4.5,22117
coffee,76,Dominus (Christian Moueix),4.5,22117
cream,58,Dominus (Christian Moueix),4.5,22117
toast,25,Dominus (Christian Moueix),4.5,22117
coffee,24,Pingus,4.6,6013
coffee,24,Pingus,4.6,6013
coffee,111,Grand Vin de Château Palmer (Grand Cru Classé),4.5,29026
toast,35,Grand Vin de Château Palmer (Grand Cru Classé),4.5,29026
coffee,111,Grand Vin de Château Palmer (Grand Cru Classé),4.5,29026
cream,38,Grand Vin de Château Palmer (Grand Cru Classé),4.5,29026
toast,35,Grand Vin de Château Palmer (Grand Cru Classé),4.5,29026
coffee,40,Messorio,4.5,5514
coffee,40,Messorio,4.5,5514
coffee,20,Brunello di Montalcino Riserva Madonna del Piano,4.5,3506
coffee,20,Brunello di Montalcino Riserva Madonna del Piano,4.5,3506
coffee,67,Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.5,15671
toast,24,Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.5,15671
coffee,67,Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.5,15671
cream,19,Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.5,15671
toast,24,Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.5,15671
toast,15,La Grande Dame Brut Rosé Champagne,4.6,1118
cream,13,La Grande Dame Brut Rosé Champagne,4.6,1118
toast,15,La Grande Dame Brut Rosé Champagne,4.6,1118
citrus,11,La Grande Dame Brut Rosé Champagne,4.6,1118
toast,28,Collection,4.7,2184
cream,36,Collection,4.7,2184
toast,28,Collection,4.7,2184
citrus,38,Collection,4.7,2184
coffee,12,Sorì San Lorenzo,4.6,3857
coffee,12,Sorì San Lorenzo,4.6,3857
coffee,17,Les Pavots,4.6,4010
coffee,17,Les Pavots,4.6,4010
cream,13,Les Pavots,4.6,4010
coffee,14,Costa Russi (Barbaresco) Langhe,4.6,2876
coffee,14,Costa Russi (Barbaresco) Langhe,4.6,2876
coffee,43,Pessac-Léognan (Grand Cru Classé de Graves),4.5,15975
toast,14,Pessac-Léognan (Grand Cru Classé de Graves),4.5,15975
coffee,43,Pessac-Léognan (Grand Cru Classé de Graves),4.5,15975
cream,20,Pessac-Léognan (Grand Cru Classé de Graves),4.5,15975
toast,14,Pessac-Léognan (Grand Cru Classé de Graves),4.5,15975
citrus,54,Chevalier-Montrachet Grand Cru,4.6,2340
cream,22,Chevalier-Montrachet Grand Cru,4.6,2340
coffee,17,Campo Inferi Amarone della Valpolicella Classico Riserva,4.6,2112
coffee,17,Campo Inferi Amarone della Valpolicella Classico Riserva,4.6,2112
cream,72,'Giulio Ferrari' Riserva del Fondatore,4.6,12592
toast,48,'Giulio Ferrari' Riserva del Fondatore,4.6,12592
toast,48,'Giulio Ferrari' Riserva del Fondatore,4.6,12592
green apple,15,'Giulio Ferrari' Riserva del Fondatore,4.6,12592
citrus,66,'Giulio Ferrari' Riserva del Fondatore,4.6,12592
coffee,13,Sperss Barolo,4.6,10950
coffee,13,Sperss Barolo,4.6,10950
cream,15,Sperss Barolo,4.6,10950
toast,12,Corton-Charlemagne Grand Cru,4.6,719
citrus,18,Corton-Charlemagne Grand Cru,4.6,719
