winerie,wine name,wine rating
Vin Santo di Montepulciano
St. Henri Shiraz
Siepi
Solare Toscana
Tenuta Tignanello 'Solaia'
Tignanello
Tenuta Guado al Tasso Bolgheri Superiore
Pian delle Vigne Brunello di Montalcino
Castello della Sala Cervaro della Sala
Castello della Sala Muffato della Sala
Chardonnay
Amarone della Valpolicella Classico
Nicolás Catena Zapata
Malbec Argentino
Alàuda
Rioja 150 Aniversario
Puligny-Montrachet 1er Cru 'La Garenne'
Monte Bello
Cabernet Sauvignon (Signature)
Merlot (Signature)
Pauillac (Premier Grand Cru Classé)
Almaviva
Mille E Una Notte
Overture
Sassicaia
Rutherford
Chateau Buena Vista Cabernet Sauvignon Napa Valley
Relentless
Pavillon Rouge du Château Margaux
Aphrodite
Les Pavots
Toscana Batar
Toscana Camartina
Papillon
Amarone della Valpolicella Classico
Barolo Bricco Rocche
Barolo Prapò
Barolo Brunate
Corton-Charlemagne Grand Cru
Romanée-Saint-Vivant Grand Cru Les Quatre Journaux
Torre Muga
Gran Reserva Ribera del Duero
Gran Reserva 890
IX Estate Red
Lot 1
Amarone della Valpolicella Classico
Brut Cuvée Champagne Rosé
Barolo Bricco Gattera
Barolo Enrico VI
Grand Vin de Château Palmer (Grand Cru Classé)
Brunello di Montalcino
Pietradonice
Tenuta Nuova Brunello di Montalcino
Dominus (Christian Moueix)
La Muse
La Joie
Le Désir
Brunello di Montalcino
Altero Brunello di Montalcino
Brunello di Montalcino Riserva
Saint-Émilion Grand Cru (Premier Grand Cru Classé)
The Stork
Hermitage La Chapelle Rouge
Castillo Ygay Gran Reserva Especial Tinto
Puligny-Montrachet Enseignères
Malleolus
Malleolus de Sanchomartin
Capitel Monte Olmi Amarone della Valpolicella Classico Riserva
Toscana I Sodi di San Niccolo
60 Sessantanni Old Vines Primitivo di Manduria
Falletto Barolo
Campo dei Gigli Amarone della Valpolicella
Ribera del Duero Prestigio
Ribera del Duero Reserva
Amarone della Valpolicella Classico
Clos Apalta
Barolo Rocche
Montepulciano d'Abruzzo
Brunello di Montalcino Riserva
Pauillac (Grand Cru Classé)
Saint-Emilion Grand Cru (Premier Grand Cru Classé)
Les Bessards Hermitage
Félix Callejo (Viñedos de la Familia)
Bricco dell'Uccellone Barbera d'Asti
Vürsù Barbaresco Starderi
Vürsù Barbaresco Valeirano
Blanc de Blancs Brut Champagne Grand Cru
Series C
Series M
Paleo Rosso
Messorio
Scrio
Malbec
Montrachet Grand Cru Blanc
Musigny Grand Cru
Clos Saint Denis Grand Cru
Cabernet Sauvignon
Insignia
Barolo Sorì Ginestra
Barolo Ginestra Vigna del Gris
Saint-Émilion Grand Cru (Premier Grand Cru Classé)
Barsac (Premier Grand Cru Classé)
Galatrona
Brunello di Montalcino
Pessac-Léognan (Grand Cru Classé de Graves)
Chloe Chardonnay
Finn Pinot Noir
Châteauneuf-Du-Pape Cuvée Des Générations Gaston-Philippe
Châteauneuf-du-Pape
1694 Classification Red
Altura
Pomerol
Cirsion Rioja
Chardonnay
La Grande Année Brut Champagne
Big'd Big Barolo
Vigna Cappella di S. Stefano Perno Barolo
Amarone della Valpolicella
Giramonte Toscana
Costasera Amarone della Valpolicella Classico
Campolongo di Torbe Amarone della Valpolicella Classico
Brunello di Montalcino Riserva Vigna Paganelli
Bolgheri Superiore
Le Serre Nuove
Barolo Ginestra Casa Maté
Il Bricco Barbaresco
Ornato Barolo
Saint-Julien (Grand Cru Classé)
Flaccianello della Pieve
25 anni Montefalco Sagrantino
Cuvée Annamaria Clementi (Extra Brut)
Brunello di Montalcino
Brunello di Montalcino
